Composer---Artist Pair,No of tracks they have produced together
Alcino Corrêa/Monarco-----Zeca Pagodinho,1
Aldir Blanc/Jayme Vignoli-----Zeca Pagodinho,1
Alex North/Hy Zaret-----U2,1
Alexandre Brazil/Pedro Luis/Rodrigo Cabelo-----Marcos Valle,1
Allen Story/George Gordy/Robert Gordy-----Marvin Gaye,1
Almir Guineto/Dedé Paraiso/Luverci Ernesto-----Zeca Pagodinho,1
Amos Blakemore/Buddy Guy-----Buddy Guy,1
Andrea Dulbecco-----Aisha Duo,1
Anonymous-----Alberto Turco & Nova Schola Gregoriana,1
Antonio Carlos Jobim/Vinicius de Moraes-----Marcos Valle,1
Antonio Carlos Jobim-----Marcos Valle,1
Antonio Lopes-----Titãs,1
"Antonio Vivaldi-----Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker",1
Arlindo Cruz/Carlos Sena/Elmo Caetano/Mauricao-----Various Artists,1
"Arlindo Cruz/Franco/Marquinhos PQD/Negro, Jovelina Pérolo/Zeca Pagodinho-----Zeca Pagodinho",1
"Arnaldo Antunes/Britto, SergioMiklos, Paulo-----Titãs",1
Arnaldo Antunes/Charles Gavin/Marcelo Fromer/Sérgio Britto/Toni Bellotto-----Titãs,1
Arnaldo Antunes-----Titãs,1
Arnaldo Anutnes/Branco Mello/Marcelo Fromer/Sergio Brotto/Toni Bellotto-----Titãs,1
Arnaldo Anutnes/Marcelo Fromer/Paulo Miklos-----Titãs,1
Arnaldo Baptista - Rita Lee -  Sérgio Dias-----Os Mutantes,1
Arnaldo Baptista - Rita Lee - Arnolpho Lima Filho-----Os Mutantes,1
Arnaldo Baptista - Rita Lee - Sérgio Dias-----Os Mutantes,1
Arnaldo Baptista/Rita Lee/Sérgio Dias-----Os Mutantes,1
Arthur Crudup/Bernard Besman/Bukka White/Doc Pomus/John Bonham/John Lee Hooker/John Paul Jones/Mort Shuman/Robert Plant/Willie Dixon-----Led Zeppelin,1
"Astor Campbell, Delroy ""Chris"" Cooper, Donovan Jackson, Dorothy Fields, Earl Chinna Smith, Felix Howard, Gordon Williams, James Moody, Jimmy McHugh, Matt Rowe, Salaam Remi & Stefan Skarbek-----Amy Winehouse",1
Astor Piazzolla-----The 12 Cellists of The Berlin Philharmonic,1
Augusto Conceição/Chiclete Com Banana-----Various Artists,1
Augusto Garcez/Nelson Cavaquinho-----Zeca Pagodinho,1
"Augusto/Craig Negoescu/Rocco Filho/Saara, Ze Carlos Da-----Various Artists",1
B. Carter/C. Layton/R. Ellsworth/R. Wynans/T. Shannon-----Stevie Ray Vaughan & Double Trouble,1
B. Cummings/G. Peterson/M.J. Kale/R. Bachman-----Lenny Kravitz,1
B. Guy-----Stevie Ray Vaughan & Double Trouble,1
B. de Filippi - F. Migliaci - Versão: Fred Jorge-----Os Mutantes,1
Baden Powell/Vinicius de Moraes-----Marcos Valle,1
Bahiano/Chuck Rio/Diego Blanco/Herbert Vianna-----Os Paralamas Do Sucesso,1
Bahiano/Diego Blanco/Herbert Vianna-----Os Paralamas Do Sucesso,1
Barrett Strong/Norman Whitfield/Roger Penzabene-----Marvin Gaye,1
Ben E.King/James Bethea-----Led Zeppelin,1
Ben Shepherd/Chris Cornell/Kim Thayil/Matt Cameron-----Soundgarden,1
Ben Shepherd/Chris Cornell-----Soundgarden,1
Bernardo Vilhena/Bino Farias/Da Gama/Lazão/Toni Garrido-----Cidade Negra,1
Bernardo Vilhena/Bino/Da Gama/Lazao/Toni Garrido-----Cidade Negra,1
Bernardo Vilhena/Da Gama/Lazao-----Cidade Negra,1
Bernardo Vilhena/Da Gama/Lazão-----Cidade Negra,1
"Berry Gordy, Jr./Janie Bradford-----BackBeat",1
Bert Russell/Phil Medley-----BackBeat,1
Beto Gogo/Jessé Pai/Luiz Carlos/Zeca Pagodinho-----Zeca Pagodinho,1
"Beto Guedes, Márcio Borges-----Milton Nascimento",1
"Beto Guedes, Ronaldo Bastos-----Milton Nascimento",1
Beto Guedes/Fernando Brant/L Borges-----Os Paralamas Do Sucesso,1
Betty Newsome/James Brown-----James Brown,1
Bi Ribeira/Herbert Vianna/João Barone-----Os Paralamas Do Sucesso,1
Bi Ribeiro/Herbert Vianna/João Barone-----Os Paralamas Do Sucesso,1
Big Bill Broonzy-----Eric Clapton,1
Bill Dees/Roy Orbison-----Van Halen,1
Bill Gould/Jon Hudson/Mike Bordin/Mike Patton-----Faith No More,1
Billie Joe Armstrong/Green Day-----Green Day,1
Billy Duffy/Ian Astbury/Marti Frederiksen/Mick Jones-----The Cult,1
Billy Roberts-----Jimi Hendrix,1
Billy/Del James/W. Axl Rose/West Arkeen-----Guns N' Roses,1
Bino Farias/Da Gama/Henry Lawes/Lazão/Toni Garrido/Winston Foser-Vers-----Cidade Negra,1
Bino Farias/Da Gama/Lazão/Pedro Luis/Toni Garrido-----Cidade Negra,1
Bino Farias/Da Gama/Lazão/Rás Bernardo-----Cidade Negra,1
Bino Farias/Da Gamma/Lazão/Rás Bernard-----Cidade Negra,1
Bino/Da Gama/Lazao/Ras Bernardo-----Cidade Negra,1
Bino/Da Gama/Toni Garrido-----Cidade Negra,1
Bino/Da Gamma/Lazao/Toni Garrido-----Cidade Negra,1
Bizuca/Clóvis Pê/Gilson Bernini/Marelo D'Aguia-----Various Artists,1
Black Sabbath-----Metallica,1
Blackmore/Coverdale/Lord/Paice-----Deep Purple,1
Blackmore/Coverdale-----Deep Purple,1
Blackmore/Gillan/Glover/Lord/Paice-----Deep Purple,1
Blaze Bayley/David Murray/Steve Harris-----Iron Maiden,1
Blaze Bayley/Steve Harris-----Iron Maiden,1
Bo Diddley-----BackBeat,1
Bob Cochran/Sharon Sheeley-----Led Zeppelin,1
Bob Dylan-----Guns N' Roses,1
Bobby Byrd/James Brown/Ron Lenhoff-----James Brown,1
Bolin/Coverdale/Paice-----Deep Purple,1
Bolin/Hughes/Lord-----Deep Purple,1
Bolin/Hughes-----Deep Purple,1
Bombom/Ed Motta-----Marcos Valle,1
"Bono/Clayton, Adam/Dylan, Bob/Mullen Jr., Larry/The Edge-----U2",1
Bono-----U2,1
Brad Shapiro/George Jackson/Robert Miller/Walter Shaw-----James Brown,1
Branco Mello/Carlos Barmack/Ciro Pessoa/Marcelo Fromer/Toni Belloto-----Titãs,1
Brian Eno/U2-----U2,1
Brian Holland/Eddie Holland/Lamont Dozier-----Marvin Gaye,1
Brian Holland/Freddie Gorman/Georgia Dobbins/Robert Bateman/William Garrett-----BackBeat,1
Bruce Dickinson; Harris-----Iron Maiden,1
Bryan Adams/Nikki Sixx/Scott Humphrey-----Mötley Crüe,1
"Buchanan, Wallis-----Jamiroquai",1
Buzz Cason/Mac Gayden-----U2,1
Béla Bartók-----Yehudi Menuhin,1
C. A./C.A./Celso Alvim/Herbert Vianna/Mário Moura/Pedro Luís/Sidon Silva-----Os Paralamas Do Sucesso,1
C. Burnett-----Stevie Ray Vaughan & Double Trouble,1
C. Cester/C. Muncey-----JET,1
C. Cester-----JET,1
C.Burton-----Metallica,1
Caetano Veloso - Djavan-----Caetano Veloso,1
Caetano Veloso - Gilberto Gil-----Os Mutantes,1
Caetano Veloso - Waly Salomão-----Caetano Veloso,1
Caetano Veloso-----Os Mutantes,1
"Cal Adan/Del Rey, Tension/Edu Casanova-----Various Artists",1
Cal Adan/Ferrugem/Julinho Carioca/Tríona Ní Dhomhnaill-----Various Artists,1
Cal Adan/Paulo Levi-----Various Artists,1
Cale/Clapton-----Eric Clapton,1
Carl Nielsen-----Göteborgs Symfoniker & Neeme Järvi,1
Carl Orff-----Boston Symphony Orchestra & Seiji Ozawa,1
Carlinhos Brown/Herbert Vianna-----Os Paralamas Do Sucesso,1
Carlinhos Santana/Nelson Rufino-----Zeca Pagodinho,1
Carlos Imperial/Edardo Araújo-----Tim Maia,1
Carlos Imperial/Tim Maia-----Tim Maia,1
Carlos Santana & C. Thompson-----Santana,1
Carlos Santana & Dave Matthews-----Santana,1
Carlos Santana & KC Porter-----Santana,1
Carlos Santos/Ciro/Claudio Russo/Zé Luiz-----Various Artists,1
Carolyn Franklin and Sonny Saunders-----Lenny Kravitz,1
Caruso/Cleber/Deo/Osmar-----Various Artists,1
Cassiano Costa/Cintia Maviane/J.F./Lucas Costa-----Various Artists,1
Cave-----Metallica,1
Charles Gavin/Marcelo Fromer/Sérgio Britto-----Titãs,1
Charlie Midnight/Dan Hartman-----James Brown,1
Chester Burnett/Jimmy Page/John Bonham/John Paul Jones/Robert Plant-----Led Zeppelin,1
Chet Catallo-----Spyro Gyra,1
Chico Amaral/Edgard Scandurra/Samuel Rosa-----Skank,1
Chico Amaral/Lelo Zanettik-----Skank,1
Chico Buarque-----Caetano Veloso,1
Chico Science/Dengue/Lúcio Maia-----Os Paralamas Do Sucesso,1
Chris Frantz/David Byrne/Jerry Harrison/Tina Weymouth-----Os Paralamas Do Sucesso,1
Chuck Berry-----Cidade Negra,1
Cidade Negra-----Cidade Negra,1
Ciro Pressoa/Marcelo Fromer-----Titãs,1
Clapton/Collins/Pappalardi-----Eric Clapton,1
Clapton/Dylan-----Eric Clapton,1
Clapton/F.eldman/Linn-----Eric Clapton,1
Clapton/Gordon-----Eric Clapton,1
Clapton/Harrison-----Eric Clapton,1
